"URL","File Size","Outgoing links Count","Content Type"
"http://www.nydailynews.com/news/president-obama-retirement-gallery-1.2966216","68082","20","text/html;charset=utf-8"
"https://www.nydailynews.com/services/feeds","72443","179","text/html;charset=utf-8"
"http://www.nydailynews.com/news/world","124079","167","text/html;charset=utf-8"
"http://www.nydailynews.com/newswires/news/world/separatists-vow-defy-police-ultimatum-catalan-vote-article-1.3531811","97062","106","text/html;charset=utf-8"
"http://www.nydailynews.com/newswires/news/national/latest-john-kelly-authority-cabinet-travel-article-1.3530312","98772","106","text/html;charset=utf-8"
"http://www.nydailynews.com/news/national/stasi-americans-americans-puerto-rico-article-1.3532395","96265","123","text/html;charset=utf-8"
"http://www.nydailynews.com/news/national/yosemite-climber-died-saving-wife-el-captian-rockfall-article-1.3532264","90164","110","text/html;charset=utf-8"
"http://www.nydailynews.com/life-style/stand-glare-engagement-rings-star-best-friend-gallery-1.45822","68113","20","text/html;charset=utf-8"
"https://www.nydailynews.com/horoscopes/leo","107973","132","text/html;charset=utf-8"
"http://www.nydailynews.com/newswires/news/world/air-france-plane-forced-land-canada-engine-damage-article-1.3533125","86053","104","text/html;charset=utf-8"
"http://www.nydailynews.com/new-york","171200","294","text/html;charset=utf-8"
"http://www.nydailynews.com/horoscopes/monthly","117688","137","text/html;charset=utf-8"
"http://www.nydailynews.com/newswires/entertainment/new-season-snl-roars-back-mocking-trump-top-article-1.3532137","86078","104","text/html;charset=utf-8"
"http://www.nydailynews.com/new-york/brooklyn/brooklyn-mechanic-shot-dead-man-clash-car-repairs-article-1.3533364","86028","102","text/html;charset=utf-8"
"http://www.nydailynews.com/sports/baseball/yankees/jessica-steinbrenner-files-restraining-order-ex-husband-article-1.3533248","88914","107","text/html;charset=utf-8"
"http://www.nydailynews.com/horoscopes/daily","109304","125","text/html;charset=utf-8"
"https://www.nydailynews.com/services/mobile","9973","33","text/html;charset=utf-8"
"http://www.nydailynews.com/entertainment/theater-arts/lin-manuel-miranda-trump-straight-hell-article-1.3532227","94745","124","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-volvo-xc60-list-article-1.3514215","104394","123","text/html;charset=utf-8"
"http://www.nydailynews.com/sports/baseball/yankees/judge-sets-yankees-franchise-record-33rd-hr-stadium-article-1.3532529","89177","105","text/html;charset=utf-8"
"http://www.nydailynews.com/sports/baseball/yankees/cc-sabathia-resurgence-yankees-long-playoffs-article-1.3533083","93619","107","text/html;charset=utf-8"
"http://www.nydailynews.com/horoscopes/weekly","116373","137","text/html;charset=utf-8"
"http://www.nydailynews.com/photos","112024","172","text/html;charset=utf-8"
"http://www.nydailynews.com/autos/gallery-porsche-70-years-motorbooks-gallery-1.3530172","26579","20","text/html;charset=utf-8"
"https://www.nydailynews.com/nydn/img/static/Desktop_Notification.png","164587","0","image/png"
"http://www.nydailynews.com/newswires/news/world/hurricane-stresses-puerto-rico-weak-health-system-article-1.3532386","97898","106","text/html;charset=utf-8"
"https://www.nydailynews.com/sports/hockey/islanders","122060","167","text/html;charset=utf-8"
"http://www.nydailynews.com/sports/baseball/mets","119347","157","text/html;charset=utf-8"
"http://www.nydailynews.com/entertainment/cast-cheers-gallery-1.3179348","67940","21","text/html;charset=utf-8"
"http://www.nydailynews.com/news","153507","252","text/html;charset=utf-8"
"http://www.nydailynews.com/sports/baseball/mets/mets-didn-ugly-collins-door-article-1.3532548","99527","119","text/html;charset=utf-8"
"http://www.nydailynews.com/new-york/bronx","121837","171","text/html;charset=utf-8"
"http://www.nydailynews.com/new-york/fdny-medic-killed-motorcycle-fall-kosciuszko-bridge-article-1.3533350","86182","105","text/html;charset=utf-8"
"http://www.nydailynews.com/new-york-daily-news-front-pages-gallery-1.2943303","65856","20","text/html;charset=utf-8"
"http://www.nydailynews.com/life-style/drink-water-amount-article-1.3504556","89611","103","text/html;charset=utf-8"
"http://www.nydailynews.com/sports/basketball/knicks","121196","158","text/html;charset=utf-8"
"http://www.nydailynews.com/newswires/sports/calvert-bjorkstrand-blue-jackets-top-penguins-3-0-article-1.3532986","89401","105","text/html;charset=utf-8"
"http://www.nydailynews.com/news/national","123366","168","text/html;charset=utf-8"
"http://www.nydailynews.com/tags/daily-views","106984","157","text/html;charset=utf-8"
"http://www.nydailynews.com/sports/baseball/yankees","119953","160","text/html;charset=utf-8"
"http://www.nydailynews.com/life-style/eats","119724","159","text/html;charset=utf-8"
"http://www.nydailynews.com/sports/baseball/yankees/yankees-fan-ejected-jeffrey-maier-esque-play-article-1.3532591","86432","107","text/html;charset=utf-8"
"http://www.nydailynews.com/new-york/queens","120787","171","text/html;charset=utf-8"
"http://www.nydailynews.com/new-york/rest-old-kosciuszko-bridge-set-controlled-demolition-article-1.3532712","86464","106","text/html;charset=utf-8"
"http://www.nydailynews.com/sports/basketball","121839","165","text/html;charset=utf-8"
"http://www.nydailynews.com/sports/baseball/mets/seth-lugo-finishes-season-mets-high-note-article-1.3533447","87749","104","text/html;charset=utf-8"
